0000.000 (0) Opened log file at time: Wed, 08 Nov 2017 23:40:45 +0000 on http://mpd150.labsix.co
0000.002 (0) UpdraftPlus WordPress backup plugin (https://updraftplus.com): 1.13.12 WP: 4.8.3 PHP: 7.0.19-1 (apache2handler, Linux mpd150 4.9.0-4-amd64 #1 SMP Debian 4.9.51-1 (2017-09-28) x86_64) MySQL: 5.5.5 WPLANG: en_US Server: Apache/2.4.25 (Debian) safe_mode: 0 max_execution_time: 900 memory_limit: 256M (used: 5.3M | 4M) multisite: N openssl: OpenSSL 1.1.0e  16 Feb 2017 mcrypt: N LANG: C ZipArchive::addFile: N
0000.003 (0) Free space on disk containing Updraft's temporary directory: 27053.9 MB
0000.006 (0) Tasks: Backup files: 1 (schedule: daily) Backup DB: 1 (schedule: daily)
0000.007 (0) Semaphore (fd, wpmpd_options) being initialised
0000.012 (0) Requesting semaphore lock (fd) (apparently not via scheduler)
0000.017 (0) Set semaphore last lock (fd) time to 2017-11-08 23:40:45
0000.018 (0) Semaphore lock (fd) complete
0000.024 (0) Backup run: resumption=0, nonce=ae5a58dcbb91, begun at=1510184445 (0s ago), job type=backup
0000.027 (0) Scheduling a resumption (1) after 300 seconds (1510184745) in case this run gets aborted
0000.046 (0) Checking if we have a zip executable available
0000.050 (0) Zip engine: ZipArchive is not available or is disabled (will use PclZip if needed)
0000.051 (0) Creation of backups of directories: beginning
0000.054 (0) Beginning creation of dump of plugins (split every: 400 MB)
0000.123 (0) Total entities for the zip file: 444 directories, 2924 files (0 skipped as non-modified), 50.9 MB
0000.125 (0) Only one archive required (UpdraftPlus_PclZip) - will attempt to do in single operation (data: 52092.3 KB, split: 409600 KB)
0000.142 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-plugins.zip.tmp: 100 files added (on-disk size: 0 KB)
0000.147 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-plugins.zip.tmp: 200 files added (on-disk size: 0 KB)
0000.151 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-plugins.zip.tmp: 300 files added (on-disk size: 0 KB)
0000.155 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-plugins.zip.tmp: 400 files added (on-disk size: 0 KB)
0000.160 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-plugins.zip.tmp: 500 files added (on-disk size: 0 KB)
0000.164 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-plugins.zip.tmp: 600 files added (on-disk size: 0 KB)
0000.168 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-plugins.zip.tmp: 700 files added (on-disk size: 0 KB)
0000.171 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-plugins.zip.tmp: 800 files added (on-disk size: 0 KB)
0000.175 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-plugins.zip.tmp: 900 files added (on-disk size: 0 KB)
0000.177 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-plugins.zip.tmp: 1000 files added (on-disk size: 0 KB)
0000.180 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-plugins.zip.tmp: 1100 files added (on-disk size: 0 KB)
0000.183 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-plugins.zip.tmp: 1200 files added (on-disk size: 0 KB)
0000.186 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-plugins.zip.tmp: 1300 files added (on-disk size: 0 KB)
0000.189 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-plugins.zip.tmp: 1400 files added (on-disk size: 0 KB)
0000.192 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-plugins.zip.tmp: 1500 files added (on-disk size: 0 KB)
0000.194 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-plugins.zip.tmp: 1600 files added (on-disk size: 0 KB)
0000.197 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-plugins.zip.tmp: 1700 files added (on-disk size: 0 KB)
0000.201 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-plugins.zip.tmp: 1800 files added (on-disk size: 0 KB)
0000.204 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-plugins.zip.tmp: 1900 files added (on-disk size: 0 KB)
0000.207 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-plugins.zip.tmp: 2000 files added (on-disk size: 0 KB)
0000.210 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-plugins.zip.tmp: 2100 files added (on-disk size: 0 KB)
0000.214 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-plugins.zip.tmp: 2200 files added (on-disk size: 0 KB)
0000.218 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-plugins.zip.tmp: 2300 files added (on-disk size: 0 KB)
0000.221 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-plugins.zip.tmp: 2400 files added (on-disk size: 0 KB)
0000.225 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-plugins.zip.tmp: 2500 files added (on-disk size: 0 KB)
0000.230 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-plugins.zip.tmp: 2600 files added (on-disk size: 0 KB)
0000.235 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-plugins.zip.tmp: 2700 files added (on-disk size: 0 KB)
0000.240 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-plugins.zip.tmp: 2800 files added (on-disk size: 0 KB)
0000.244 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-plugins.zip.tmp: 2900 files added (on-disk size: 0 KB)
0013.982 (0) Created plugins zip (0) - 18682.1 KB in 13.9 s (1341.4 KB/s) (sha1: d4a4d41d73ee9d84b8cb7d2ec3a8487a96621d04, sha256: e9c0762b3fa8e682896a8b015fae0e3a0a9c05d3ce3fead585c3fa6069c15600)
0013.989 (0) Beginning creation of dump of themes (split every: 400 MB)
0014.474 (0) Total entities for the zip file: 2375 directories, 13204 files (0 skipped as non-modified), 82.5 MB
0014.478 (0) Only one archive required (UpdraftPlus_PclZip) - will attempt to do in single operation (data: 84484.6 KB, split: 409600 KB)
0014.489 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-themes.zip.tmp: 100 files added (on-disk size: 0 KB)
0014.496 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-themes.zip.tmp: 200 files added (on-disk size: 0 KB)
0014.500 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-themes.zip.tmp: 300 files added (on-disk size: 0 KB)
0014.503 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-themes.zip.tmp: 400 files added (on-disk size: 0 KB)
0014.507 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-themes.zip.tmp: 500 files added (on-disk size: 0 KB)
0014.511 (0) Zip: backup_2017-11-08-2340_MPD150_ae5a58dcbb91-themes.zip.tmp: 600 files added (on-disk size: 0 KB)
