0000.001 (0) Opened log file at time: Fri, 10 Nov 2017 01:58:48 +0000 on http://mpd150.labsix.co
0000.005 (0) UpdraftPlus WordPress backup plugin (https://updraftplus.com): 1.13.12 WP: 4.8.3 PHP: 7.0.19-1 (apache2handler, Linux mpd150 4.9.0-4-amd64 #1 SMP Debian 4.9.51-1 (2017-09-28) x86_64) MySQL: 5.5.5 WPLANG: en_US Server: Apache/2.4.25 (Debian) safe_mode: 0 max_execution_time: 900 memory_limit: 256M (used: 4.8M | 6M) multisite: N openssl: OpenSSL 1.1.0e  16 Feb 2017 mcrypt: N LANG: C ZipArchive::addFile: N
0000.007 (0) Free space on disk containing Updraft's temporary directory: 26999.7 MB
0000.012 (0) Tasks: Backup files: 1 (schedule: daily) Backup DB:  (schedule: daily)
0000.014 (0) Processed schedules. Combining jobs from identical schedules. Tasks now: Backup files: 1 Backup DB: 1
0000.019 (0) Requesting semaphore lock (fd) (apparently via scheduler: last_scheduled_action_called_at=1510184445, seconds_ago=94683)
0000.029 (0) Set semaphore last lock (fd) time to 2017-11-10 01:58:48
0000.031 (0) Semaphore lock (fd) complete
0000.039 (0) Backup run: resumption=0, nonce=daed402e1b71, begun at=1510279128 (0s ago), job type=backup
0000.043 (0) Scheduling a resumption (1) after 300 seconds (1510279428) in case this run gets aborted
0000.084 (0) Checking if we have a zip executable available
0000.090 (0) Zip engine: ZipArchive is not available or is disabled (will use PclZip if needed)
0000.092 (0) Creation of backups of directories: beginning
0000.102 (0) Beginning creation of dump of plugins (split every: 400 MB)
0000.233 (0) Total entities for the zip file: 464 directories, 3060 files (0 skipped as non-modified), 52.8 MB
0000.238 (0) Only one archive required (UpdraftPlus_PclZip) - will attempt to do in single operation (data: 54033.4 KB, split: 409600 KB)
0000.265 (0) Zip: backup_2017-11-10-0158_MPD150_daed402e1b71-plugins.zip.tmp: 100 files added (on-disk size: 0 KB)
0000.273 (0) Zip: backup_2017-11-10-0158_MPD150_daed402e1b71-plugins.zip.tmp: 200 files added (on-disk size: 0 KB)
